Food type,Methane gas level,Humidity,temperature ,spoiled or not spoiled ,outcome
cooked rice,410,95,34.15,not spoiled,0
cooked rice,411,95,34.18,not spoiled,0
cooked rice,411,96,34.18,not spoiled,0
cooked rice,412,96,34.19,not spoiled,0
cooked rice,413,96,34.2,not spoiled,0
cooked rice,413,96,34.2,not spoiled,0
cooked rice,414,96,34.2,not spoiled,0
cooked rice,414,96,34.21,not spoiled,0
cooked rice,414,96,34.22,not spoiled,0
cooked rice,415,96,34.24,not spoiled,0
cooked rice,416,96,34.24,not spoiled,0
cooked rice,416,96,34.29,not spoiled,0
cooked rice,417,96,34.31,not spoiled,0
cooked rice,418,96,34.32,not spoiled,0
cooked rice,418,96,34.36,not spoiled,0
cooked rice,419,96,34.36,not spoiled,0
cooked rice,419,96,34.38,not spoiled,0
cooked rice,419,96,34.4,not spoiled,0
cooked rice,420,96,34.4,not spoiled,0
cooked rice,420,96,34.42,not spoiled,0
cooked rice,420,96,34.43,not spoiled,0
cooked rice,422,96,34.45,not spoiled,0
cooked rice,424,96,34.46,not spoiled,0
cooked rice,425,96,34.47,not spoiled,0
cooked rice,425,96,34.48,not spoiled,0
cooked rice,426,96,34.48,not spoiled,0
cooked rice,426,96,34.49,not spoiled,0
cooked rice,427,96,34.51,not spoiled,0
cooked rice,427,96,34.55,not spoiled,0
cooked rice,427,96,34.56,not spoiled,0
cooked rice,427,96,34.57,not spoiled,0
cooked rice,428,96,34.59,not spoiled,0
cooked rice,428,96,34.61,not spoiled,0
cooked rice,429,96,34.61,not spoiled,0
cooked rice,429,96,34.65,not spoiled,0
cooked rice,430,96,34.65,not spoiled,0
cooked rice,430,96,34.65,not spoiled,0
cooked rice,431,96,34.66,not spoiled,0
cooked rice,431,96,34.69,not spoiled,0
cooked rice,431,96,34.72,not spoiled,0
cooked rice,432,96,34.73,not spoiled,0
cooked rice,432,96,34.75,not spoiled,0
cooked rice,432,96,34.75,not spoiled,0
cooked rice,432,96,34.75,not spoiled,0
cooked rice,433,96,34.76,not spoiled,0
cooked rice,433,96,34.78,not spoiled,0
cooked rice,434,96,34.78,not spoiled,0
cooked rice,434,96,34.86,not spoiled,0
cooked rice,434,96,34.87,not spoiled,0
cooked rice,434,96,34.87,not spoiled,0
cooked rice,435,96,34.87,not spoiled,0
cooked rice,435,96,34.87,not spoiled,0
cooked rice,436,96,34.88,not spoiled,0
cooked rice,436,96,34.9,not spoiled,0
cooked rice,438,96,34.91,not spoiled,0
cooked rice,438,96,34.92,not spoiled,0
cooked rice,439,96,34.95,not spoiled,0
cooked rice,441,96,34.97,not spoiled,0
cooked rice,442,96,34.98,not spoiled,0
cooked rice,442,96,34.99,not spoiled,0
cooked rice,443,96,34.99,not spoiled,0
cooked rice,443,96,35.01,not spoiled,0
cooked rice,443,96,35.02,not spoiled,0
cooked rice,443,96,35.06,not spoiled,0
